Track ID,Track Name,Artist,Album,Release Date,Duration (ms),Views,Likes,Explicit,Artist ID,Artist Name,Genre,Subscribers,Popularity,Album ID,Album Name,Total Tracks,Playlist ID,Playlist Name,Description,Owner,User ID,User Name,Country,Subscription Level
1,Peaches,Taylor Swift,Hollywood's Bleeding,2002-11-17,264147,8779046,400449,False,1,BTS,Rock,554895,82,1,Happier Than Ever,6,1,Playlist 1,Sample playlist description,User 1,1,User 1,CA,Family
2,Peaches,Adele,After Hours,2017-09-16,271368,8757938,97665,False,2,Post Malone,Hip-Hop,219286,26,2,Views,42,2,Playlist 2,Sample playlist description,User 2,2,User 2,UK,Premium
3,Easy On Me,Taylor Swift,After Hours,2018-06-15,183519,668873,394832,False,3,Adele,Country,438307,52,3,Justice,16,3,Playlist 3,Sample playlist description,User 3,3,User 3,DE,Family
4,Peaches,Drake,After Hours,2017-07-06,271622,7965585,316652,True,4,Taylor Swift,Country,194992,24,4,Hollywood's Bleeding,11,4,Playlist 4,Sample playlist description,User 4,4,User 4,US,Premium
5,Hotline Bling,The Weeknd,1989,2016-12-24,297925,8179122,245605,True,5,Justin Bieber,R&B,612014,88,5,1989,27,5,Playlist 5,Sample playlist description,User 5,5,User 5,CA,Free
6,Hotline Bling,Adele,After Hours,2010-01-22,297648,1704579,242617,True,6,Drake,R&B,354545,60,6,Hollywood's Bleeding,39,6,Playlist 6,Sample playlist description,User 6,6,User 6,CA,Premium
7,Dynamite,Justin Bieber,After Hours,2023-10-23,234928,2294901,351028,True,7,Ariana Grande,Pop,707447,4,7,Views,45,7,Playlist 7,Sample playlist description,User 7,7,User 7,DE,Premium
8,Shape of You,Post Malone,1989,2000-01-07,202111,9847342,734532,False,8,Adele,Rock,580686,95,8,30,20,8,Playlist 8,Sample playlist description,User 8,8,User 8,US,Free
9,Bad Guy,Taylor Swift,1989,2010-05-17,268491,2468352,92455,True,9,BTS,Pop,292647,15,9,Divide,30,9,Playlist 9,Sample playlist description,User 9,9,User 9,AU,Free
10,Circles,Adele,Happier Than Ever,2012-04-21,190193,6927416,338355,False,10,Adele,Country,868708,77,10,Divide,3,10,Playlist 10,Sample playlist description,User 10,10,User 10,DE,Family
